millis,stamp,datetime,temp
376998, 1497825578, 2017/6/18 22:39:38, 18.30
377999, 1497825579, 2017/6/18 22:39:39, 18.30
378999, 1497825580, 2017/6/18 22:39:40, 18.30
379999, 1497825581, 2017/6/18 22:39:41, 18.30
380999, 1497825582, 2017/6/18 22:39:42, 18.30
381999, 1497825583, 2017/6/18 22:39:43, 18.30
382999, 1497825584, 2017/6/18 22:39:44, 18.30
383998, 1497825585, 2017/6/18 22:39:45, 18.30
384999, 1497825586, 2017/6/18 22:39:46, 18.30
385999, 1497825587, 2017/6/18 22:39:47, 18.30
386999, 1497825588, 2017/6/18 22:39:48, 18.30
387999, 1497825589, 2017/6/18 22:39:49, 18.30
388999, 1497825590, 2017/6/18 22:39:50, 18.30
389999, 1497825591, 2017/6/18 22:39:51, 18.30
390999, 1497825592, 2017/6/18 22:39:52, 18.30
392000, 1497825593, 2017/6/18 22:39:53, 18.30
392998, 1497825594, 2017/6/18 22:39:54, 18.30
394000, 1497825595, 2017/6/18 22:39:55, 18.30
394999, 1497825596, 2017/6/18 22:39:56, 18.30
396000, 1497825597, 2017/6/18 22:39:57, 18.30
396999, 1497825598, 2017/6/18 22:39:58, 18.30
398000, 1497825599, 2017/6/18 22:39:59, 18.30
398999, 1497825600, 2017/6/18 22:40:0, 18.30
400000, 1497825601, 2017/6/18 22:40:1, 18.30
401000, 1497825602, 2017/6/18 22:40:2, 18.40
401999, 1497825603, 2017/6/18 22:40:3, 18.40
402999, 1497825605, 2017/6/18 22:40:5, 18.40
403998, 1497825605, 2017/6/18 22:40:5, 18.30
404999, 1497825607, 2017/6/18 22:40:7, 18.30
405999, 1497825608, 2017/6/18 22:40:8, 18.30
406999, 1497825609, 2017/6/18 22:40:9, 18.30
407998, 1497825610, 2017/6/18 22:40:10, 18.30
408998, 1497825611, 2017/6/18 22:40:11, 18.30
410000, 1497825612, 2017/6/18 22:40:12, 18.30
410999, 1497825613, 2017/6/18 22:40:13, 18.30
411999, 1497825614, 2017/6/18 22:40:14, 18.30
412999, 1497825615, 2017/6/18 22:40:15, 18.30
413999, 1497825616, 2017/6/18 22:40:16, 18.30
415000, 1497825617, 2017/6/18 22:40:17, 18.40
415998, 1497825618, 2017/6/18 22:40:18, 18.40
417000, 1497825619, 2017/6/18 22:40:19, 18.30
417999, 1497825620, 2017/6/18 22:40:20, 18.30
419000, 1497825621, 2017/6/18 22:40:21, 18.30
419999, 1497825622, 2017/6/18 22:40:22, 18.40
420999, 1497825623, 2017/6/18 22:40:23, 18.40
421999, 1497825624, 2017/6/18 22:40:24, 18.30
422999, 1497825625, 2017/6/18 22:40:25, 18.30
424000, 1497825626, 2017/6/18 22:40:26, 18.30
424999, 1497825627, 2017/6/18 22:40:27, 18.30
425999, 1497825628, 2017/6/18 22:40:28, 18.30
426999, 1497825629, 2017/6/18 22:40:29, 18.30
427999, 1497825630, 2017/6/18 22:40:30, 18.30
428998, 1497825631, 2017/6/18 22:40:31, 18.30
429999, 1497825632, 2017/6/18 22:40:32, 18.30
430999, 1497825633, 2017/6/18 22:40:33, 18.30
432000, 1497825634, 2017/6/18 22:40:34, 18.30
432999, 1497825635, 2017/6/18 22:40:35, 18.30
433998, 1497825636, 2017/6/18 22:40:36, 18.30
434999, 1497825637, 2017/6/18 22:40:37, 18.30
435998, 1497825638, 2017/6/18 22:40:38, 18.40
436999, 1497825639, 2017/6/18 22:40:39, 18.40
437998, 1497825640, 2017/6/18 22:40:40, 18.40
438999, 1497825641, 2017/6/18 22:40:41, 18.30
439999, 1497825642, 2017/6/18 22:40:42, 18.30
440999, 1497825643, 2017/6/18 22:40:43, 18.30
441999, 1497825644, 2017/6/18 22:40:44, 18.30
442999, 1497825645, 2017/6/18 22:40:45, 18.30
444000, 1497825646, 2017/6/18 22:40:46, 18.30
444998, 1497825647, 2017/6/18 22:40:47, 18.30
446000, 1497825648, 2017/6/18 22:40:48, 18.30
446999, 1497825649, 2017/6/18 22:40:49, 18.30
447998, 1497825650, 2017/6/18 22:40:50, 18.30
448999, 1497825651, 2017/6/18 22:40:51, 18.30
449999, 1497825652, 2017/6/18 22:40:52, 18.30
450999, 1497825653, 2017/6/18 22:40:53, 18.30
451998, 1497825654, 2017/6/18 22:40:54, 18.30
452999, 1497825655, 2017/6/18 22:40:55, 18.30
453999, 1497825656, 2017/6/18 22:40:56, 18.30
454999, 1497825657, 2017/6/18 22:40:57, 18.40
455999, 1497825658, 2017/6/18 22:40:58, 18.40
456998, 1497825659, 2017/6/18 22:40:59, 18.30
457999, 1497825660, 2017/6/18 22:41:0, 18.30
458999, 1497825661, 2017/6/18 22:41:1, 18.30
460000, 1497825662, 2017/6/18 22:41:2, 18.30
460998, 1497825663, 2017/6/18 22:41:3, 18.30
462000, 1497825664, 2017/6/18 22:41:4, 18.30
462999, 1497825665, 2017/6/18 22:41:5, 18.30
464000, 1497825666, 2017/6/18 22:41:6, 18.30
464999, 1497825667, 2017/6/18 22:41:7, 18.30
465998, 1497825668, 2017/6/18 22:41:8, 18.30
466999, 1497825669, 2017/6/18 22:41:9, 18.30
467999, 1497825670, 2017/6/18 22:41:10, 18.30
468999, 1497825671, 2017/6/18 22:41:11, 18.40
469999, 1497825672, 2017/6/18 22:41:12, 18.40
470999, 1497825673, 2017/6/18 22:41:13, 18.30
471999, 1497825674, 2017/6/18 22:41:14, 18.30
472999, 1497825675, 2017/6/18 22:41:15, 18.30
474000, 1497825676, 2017/6/18 22:41:16, 18.30
474998, 1497825677, 2017/6/18 22:41:17, 18.30
476000, 1497825678, 2017/6/18 22:41:18, 18.30
476999, 1497825679, 2017/6/18 22:41:19, 18.30
477999, 1497825680, 2017/6/18 22:41:20, 18.30
478999, 1497825681, 2017/6/18 22:41:21, 18.30
479998, 1497825682, 2017/6/18 22:41:22, 18.30
480999, 1497825683, 2017/6/18 22:41:23, 18.30
481999, 1497825684, 2017/6/18 22:41:24, 18.30
483000, 1497825685, 2017/6/18 22:41:25, 18.30
483999, 1497825686, 2017/6/18 22:41:26, 18.30
484999, 1497825687, 2017/6/18 22:41:27, 18.30
485998, 1497825688, 2017/6/18 22:41:28, 18.30
487000, 1497825689, 2017/6/18 22:41:29, 18.30
487999, 1497825690, 2017/6/18 22:41:30, 18.30
488999, 1497825691, 2017/6/18 22:41:31, 18.30
490000, 1497825692, 2017/6/18 22:41:32, 18.30
490998, 1497825693, 2017/6/18 22:41:33, 18.30
492000, 1497825694, 2017/6/18 22:41:34, 18.30
492999, 1497825695, 2017/6/18 22:41:35, 18.30
493999, 1497825696, 2017/6/18 22:41:36, 18.30
494999, 1497825697, 2017/6/18 22:41:37, 18.30
496000, 1497825698, 2017/6/18 22:41:38, 18.30
496999, 1497825699, 2017/6/18 22:41:39, 18.30
497999, 1497825700, 2017/6/18 22:41:40, 18.30
